function,target_tps,source_file,send_rate,throughput,succ,fail,failure_rate_pct,avg_latency_s,max_latency_s,min_latency_s
submitProduce,50,submitproduce_f5_a5-multi-1789021067633.log,50.5,36.2,101,154,60.392,0.21,2.04,0.04
submitProduce,50,submitproduce_f5_a5-multi-1789021897529.log,50.8,36.2,103,152,59.608,0.22,2.05,0.04
submitProduce,50,submitproduce_f5_a5-multi-1789022173681.log,50.8,36.2,102,153,60.0,0.2,2.05,0.04
submitProduce,100,submitproduce_f5_a5-multi-1789021067633.log,100.3,72.8,192,313,61.98,0.13,1.93,0.04
submitProduce,100,submitproduce_f5_a5-multi-1789021897529.log,100.4,71.6,199,306,60.594,0.13,2.04,0.04
submitProduce,100,submitproduce_f5_a5-multi-1789022173681.log,100.1,72.9,197,308,60.99,0.13,1.91,0.04
submitProduce,200,submitproduce_f5_a5-multi-1789021067633.log,199.6,142.3,361,644,64.08,0.07,2.03,0.04
submitProduce,200,submitproduce_f5_a5-multi-1789021897529.log,198.7,141.9,346,659,65.572,0.08,2.04,0.04
submitProduce,200,submitproduce_f5_a5-multi-1789022173681.log,198.4,142.1,322,683,67.96,0.08,2.03,0.04
testCoffee,50,testcoffee_a5-multi-1789022359945.log,50.7,36.2,255,0,0.0,0.15,2.04,0.04
testCoffee,50,testcoffee_a5-multi-1789024346795.log,50.8,36.6,255,0,0.0,0.15,1.96,0.04
testCoffee,50,testcoffee_a5-multi-1789027335182.log,50.9,36.2,255,0,0.0,0.14,2.05,0.04
testCoffee,100,testcoffee_a5-multi-1789022359945.log,100.5,71.5,505,0,0.0,0.1,2.06,0.04
testCoffee,100,testcoffee_a5-multi-1789024346795.log,100.7,71.6,505,0,0.0,0.1,2.06,0.04
testCoffee,100,testcoffee_a5-multi-1789027335182.log,100.3,71.7,505,0,0.0,0.1,2.05,0.04
testCoffee,200,testcoffee_a5-multi-1789022359945.log,199.9,142.6,1005,0,0.0,0.07,2.05,0.04
testCoffee,200,testcoffee_a5-multi-1789024346795.log,199.2,142.4,1005,0,0.0,0.08,2.05,0.04
testCoffee,200,testcoffee_a5-multi-1789027335182.log,200.0,142.6,1005,0,0.0,0.08,2.05,0.04
makeOffer,50,makeoffer_r5_5-multi-1789022664636.log,52.7,37.7,149,121,44.815,0.04,2.05,0.0
makeOffer,50,makeoffer_r5_5-multi-1789024652212.log,52.7,37.7,149,121,44.815,0.04,2.05,0.0
makeOffer,50,makeoffer_r5_5-multi-1789028165253.log,52.7,37.8,149,121,44.815,0.04,2.04,0.0
makeOffer,100,makeoffer_r5_5-multi-1789022664636.log,102.3,101.4,286,234,45.0,0.02,0.18,0.0
makeOffer,100,makeoffer_r5_5-multi-1789024652212.log,102.2,101.3,286,234,45.0,0.02,0.18,0.0
makeOffer,100,makeoffer_r5_5-multi-1789028165253.log,102.2,101.4,286,234,45.0,0.02,0.18,0.0
makeOffer,200,makeoffer_r5_5-multi-1789022664636.log,201.9,144.0,558,462,45.294,0.02,0.26,0.0
makeOffer,200,makeoffer_r5_5-multi-1789024652212.log,199.9,143.6,560,460,45.098,0.02,2.0,0.0
makeOffer,200,makeoffer_r5_5-multi-1789028165253.log,202.1,200.2,561,459,45.0,0.02,0.1,0.0
acceptOffer,50,acceptoffer_f5_r5-multi-1789023265466.log,50.8,36.2,111,144,56.471,0.22,2.04,0.06
acceptOffer,50,acceptoffer_f5_r5-multi-1789025190322.log,50.7,36.2,104,151,59.216,0.23,2.05,0.14
acceptOffer,50,acceptoffer_f5_r5-multi-1789028702815.log,50.4,36.1,104,151,59.216,0.26,2.06,0.14
acceptOffer,100,acceptoffer_f5_r5-multi-1789023265466.log,97.0,68.6,202,254,55.702,0.13,2.05,0.06
acceptOffer,100,acceptoffer_f5_r5-multi-1789025190322.log,93.6,68.4,182,267,59.465,0.14,1.96,0.05
acceptOffer,100,acceptoffer_f5_r5-multi-1789028702815.log,95.3,67.4,183,266,59.243,0.14,2.07,0.09
acceptOffer,200,acceptoffer_f5_r5-multi-1789023265466.log,195.1,130.8,351,451,56.234,0.07,2.02,0.04
acceptOffer,200,acceptoffer_f5_r5-multi-1789025190322.log,192.0,128.1,328,454,58.056,0.07,2.03,0.05
acceptOffer,200,acceptoffer_f5_r5-multi-user-provided-200.log,166.4,121.5,259,682,72.476,0.13,0.98,0.05
packLotIntoPackets,50,pack_r5-multi-1789023434745.log,50.7,36.0,255,0,0.0,0.2,2.1,0.08
packLotIntoPackets,50,pack_r5-multi-1789025362286.log,50.8,36.5,255,0,0.0,0.18,1.99,0.07
packLotIntoPackets,50,pack_r5-multi-1789028877068.log,50.8,36.0,255,0,0.0,0.18,2.08,0.07
packLotIntoPackets,100,pack_r5-multi-1789023434745.log,100.2,71.1,505,0,0.0,0.18,2.1,0.08
packLotIntoPackets,100,pack_r5-multi-1789025362286.log,100.7,71.0,505,0,0.0,0.18,2.11,0.08
packLotIntoPackets,100,pack_r5-multi-1789028877068.log,100.6,71.2,505,0,0.0,0.18,2.14,0.08
packLotIntoPackets,200,pack_r5-multi-1789023434745.log,199.0,139.2,1005,0,0.0,1.95,2.97,0.13
packLotIntoPackets,200,pack_r5-multi-1789025362286.log,198.5,137.8,1005,0,0.0,2.01,3.13,0.17
packLotIntoPackets,200,pack_r5-multi-1789028877068.log,188.6,132.4,949,0,0.0,2.11,2.94,0.13
purchasePacket,50,purchase_c5_r5-multi-1789025519739.log,50.6,37.9,37,268,87.869,0.21,2.06,0.05
purchasePacket,50,purchase_c5_r5-multi-1789029038072.log,50.7,37.9,37,268,87.869,0.2,2.05,0.05
purchasePacket,50,purchase_c5_r5-multi-1789034502510.log,50.7,37.9,37,268,87.869,0.21,2.05,0.04
purchasePacket,100,purchase_c5_r5-multi-1789025519739.log,100.1,75.1,65,540,89.256,0.15,2.03,0.05
purchasePacket,100,purchase_c5_r5-multi-1789029038072.log,100.6,75.1,70,535,88.43,0.13,2.05,0.05
purchasePacket,100,purchase_c5_r5-multi-1789034502510.log,100.4,75.1,75,530,87.603,0.13,2.04,0.06
purchasePacket,200,purchase_c5_r5-multi-1789025519739.log,200.2,149.7,133,1072,88.963,0.08,2.03,0.05
purchasePacket,200,purchase_c5_r5-multi-1789029038072.log,199.9,149.7,144,1061,88.05,0.08,2.02,0.01
purchasePacket,200,purchase_c5_r5-multi-1789034502510.log,199.8,149.4,112,1093,90.705,0.11,2.03,0.05
