function,target_tps,n_runs,send_rate_mean,send_rate_sd,throughput_mean,throughput_sd,throughput_cv_pct,failure_rate_mean_pct,failure_rate_sd_pct
submitProduce,50,3,50.7,0.173,36.2,0.0,0.0,60.0,0.392
submitProduce,100,3,100.27,0.153,72.43,0.723,1.0,61.19,0.714
submitProduce,200,3,198.9,0.624,142.1,0.2,0.14,65.87,1.957
testCoffee,50,3,50.8,0.1,36.33,0.231,0.64,0.0,0.0
testCoffee,100,3,100.5,0.2,71.6,0.1,0.14,0.0,0.0
testCoffee,200,3,199.7,0.436,142.53,0.115,0.08,0.0,0.0
makeOffer,50,3,52.7,0.0,37.73,0.058,0.15,44.81,0.0
makeOffer,100,3,102.23,0.058,101.37,0.058,0.06,45.0,0.0
makeOffer,200,3,201.3,1.217,162.6,32.563,20.03,45.13,0.15
acceptOffer,50,3,50.63,0.208,36.17,0.058,0.16,58.3,1.585
acceptOffer,100,3,95.3,1.7,68.13,0.643,0.94,58.14,2.112
acceptOffer,200,3,184.5,15.752,126.8,4.784,3.77,62.26,8.898
packLotIntoPackets,50,3,50.77,0.058,36.17,0.289,0.8,0.0,0.0
packLotIntoPackets,100,3,100.5,0.265,71.1,0.1,0.14,0.0,0.0
packLotIntoPackets,200,3,195.37,5.865,136.47,3.591,2.63,0.0,0.0
purchasePacket,50,3,50.67,0.058,37.9,0.0,0.0,87.87,0.0
purchasePacket,100,3,100.37,0.252,75.1,0.0,0.0,88.43,0.826
purchasePacket,200,3,199.97,0.208,149.6,0.173,0.12,89.24,1.349
