function,target_tps,timestamp,channel,chaincode,chaincode_label_in_source,send_rate,throughput,avg_latency_ms,p95_latency_ms,succ,fail,failure_rate_pct,queued
submitProduce,50,2026-09-10T10:01:10.826Z,agrochannel10091,coffee_9,coffee_9,49.9,2.155,2054.2,2066.8,500,0,0,485
submitProduce,50,2026-09-10T11:43:39.854Z,agrochannel10091,coffee_9,coffee_9,43.94,2.319,2047.4,2063.7,441,0,0,484
submitProduce,50,2026-09-10T12:44:18.047Z,agrochannel10091,coffee_9,coffee_9,49.83,2.023,2051.8,2063.1,500,0,0,484
submitProduce,100,2026-09-10T10:05:16.753Z,agrochannel10091,coffee_9,coffee_9,99.58,2.058,2059.2,2086.1,500,0,0,487
submitProduce,100,2026-09-10T11:46:47.500Z,agrochannel10091,coffee_9,coffee_9,84.81,2.301,2050.4,2066.4,426,0,0,490
submitProduce,100,2026-09-10T12:48:15.226Z,agrochannel10091,coffee_9,coffee_9,99.64,2.131,2050.2,2062.8,500,0,0,487
submitProduce,200,2026-09-10T10:09:28.513Z,agrochannel10091,coffee_9,coffee_9,198.57,2.008,2052.3,2063.5,500,0,0,491
submitProduce,200,2026-09-10T11:49:52.613Z,agrochannel10091,coffee_9,coffee_9,169.18,2.338,2051.8,2064.2,427,0,0,491
submitProduce,200,2026-09-10T12:52:12.536Z,agrochannel10091,coffee_9,coffee_9,198.65,2.131,2051.8,2062.3,500,0,0,493
makeOffer,50,2026-07-20T11:46:16.812Z,agrochannel1707,coffee_9,cardamom_9,49.21,0.459,2111.3,2153.0,500,0,0,495
makeOffer,50,2026-09-10T11:53:44.600Z,agrochannel10091,coffee_9,coffee_9,8.97,0.473,2047.5,2060.5,90,0,0,495
makeOffer,50,2026-09-10T13:10:29.951Z,agrochannel10091,coffee_9,coffee_9,49.57,0.474,2047.5,2054.8,500,0,0,495
makeOffer,100,2026-07-20T12:04:33.676Z,agrochannel1707,coffee_9,cardamom_9,99.58,0.459,2119.4,2392.0,500,0,0,497
makeOffer,100,2026-09-10T11:56:55.534Z,agrochannel10091,coffee_9,coffee_9,17.27,0.469,2048.7,2058.5,87,0,0,497
makeOffer,100,2026-09-10T13:28:11.349Z,agrochannel10091,coffee_9,coffee_9,99.54,0.474,2046.7,2053.7,500,0,0,497
makeOffer,200,2026-07-20T12:23:02.022Z,agrochannel1707,coffee_9,cardamom_9,198.81,0.453,2148.2,2581.0,500,0,0,498
makeOffer,200,2026-09-10T12:00:03.641Z,agrochannel10091,coffee_9,coffee_9,34.22,0.471,2047.6,2063.4,86,0,0,498
makeOffer,200,2026-09-10T13:45:53.580Z,agrochannel10091,coffee_9,coffee_9,198.97,0.473,2048.8,2056.3,500,0,0,498
acceptOffer,50,2026-07-20T10:40:54.475Z,agrochannel1707,coffee_9,cardamom_9,15.73,2.122,2141.2,2128.0,148,0,0,481
acceptOffer,50,2026-07-20T12:27:25.765Z,agrochannel1707,coffee_9,cardamom_9,37.16,1.953,2192.1,4690.0,500,0,0,483
acceptOffer,50,2026-09-10T14:03:38.555Z,agrochannel10091,coffee_9,coffee_9,49.8,1.701,2051.0,2063.3,500,0,0,486
acceptOffer,100,2026-07-20T10:42:07.193Z,agrochannel1707,coffee_9,cardamom_9,26.69,2.049,2253.6,4773.0,134,0,0,486
acceptOffer,100,2026-07-20T12:31:28.956Z,agrochannel1707,coffee_9,cardamom_9,99.52,2.123,2114.4,2087.0,500,0,0,489
acceptOffer,100,2026-09-10T14:12:05.082Z,agrochannel10091,coffee_9,coffee_9,0.91,0.913,2050.2,2063.4,455,0,0,447
acceptOffer,200,2026-07-20T10:43:17.356Z,agrochannel1707,coffee_9,cardamom_9,51.26,2.067,2232.5,4508.0,130,0,0,491
acceptOffer,200,2026-07-20T12:35:40.456Z,agrochannel1707,coffee_9,cardamom_9,197.63,2.066,2192.9,2331.0,500,0,0,491
acceptOffer,200,2026-09-10T14:20:14.005Z,agrochannel10091,coffee_9,coffee_9,0.42,0.416,2047.9,2054.2,200,0,0,199
purchasePacket,50,2026-07-20T11:05:31.568Z,agrochannel1707,coffee_9,cardamom_9,14.91,2.137,2248.3,4780.0,150,0,0,487
purchasePacket,50,2026-07-20T12:39:59.507Z,agrochannel1707,coffee_9,cardamom_9,37.13,1.971,2143.3,2226.0,500,0,0,484
purchasePacket,50,2026-09-10T14:26:43.085Z,agrochannel10091,coffee_9,coffee_9,49.82,1.907,2050.0,2064.0,500,0,0,483
purchasePacket,100,2026-07-20T11:06:44.951Z,agrochannel1707,coffee_9,cardamom_9,18.72,2.131,2147.6,2398.0,145,0,0,487
purchasePacket,100,2026-07-20T12:44:15.343Z,agrochannel1707,coffee_9,cardamom_9,83.06,2.007,2154.2,2526.0,500,0,0,486
purchasePacket,100,2026-09-10T14:31:10.579Z,agrochannel10091,coffee_9,coffee_9,99.54,1.89,2049.3,2061.5,500,0,0,487
purchasePacket,200,2026-07-20T11:07:53.545Z,agrochannel1707,coffee_9,cardamom_9,56.16,2.31,2074.1,2158.0,145,0,0,491
purchasePacket,200,2026-07-21T04:46:00.800Z,agrochannel1707,coffee_9,cardamom_9,198.18,1.88,2055.1,2089.9,500,0,0,490
purchasePacket,200,2026-09-10T14:35:25.198Z,agrochannel10091,coffee_9,coffee_9,198.26,1.987,2052.0,2065.1,500,0,0,491
