function,target_tps,n_runs,send_rate_mean,throughput_mean,avg_latency_mean_s,failure_rate_mean_pct
submitProduce,50,1,49.71,2.0555,2.13,0.0
submitProduce,100,1,98.14,1.9718,2.181,0.0
submitProduce,200,1,195.08,1.9811,2.127,0.0
makeOffer,50,1,49.21,0.4589,2.111,0.0
makeOffer,100,1,99.58,0.4586,2.119,0.0
makeOffer,200,1,198.81,0.4532,2.148,0.0
acceptOffer,50,1,37.16,1.953,2.192,0.0
acceptOffer,100,1,99.52,2.1232,2.114,0.0
acceptOffer,200,1,197.63,2.0655,2.193,0.0
purchasePacket,50,1,37.13,1.9712,2.143,0.0
purchasePacket,100,1,83.06,2.0067,2.154,0.0
purchasePacket,200,1,198.18,1.8798,2.055,0.0
