function,target_tps,timestamp,channel,chaincode,send_rate,throughput,avg_latency_ms,success,failure,failure_rate_pct
submitProduce,50,2026-07-20T10:31:40.759Z,agrochannel1707,cardamom_9,15.945784333266891,2.277644915157727,2114.225,160,0,0
submitProduce,50,2026-07-20T11:19:08.063Z,agrochannel1707,cardamom_9,49.7116723006562,2.0554562085054777,2129.746,500,0,0
submitProduce,100,2026-07-20T10:32:49.286Z,agrochannel1707,cardamom_9,29.579964504042596,2.2917908053352893,2068.153333333333,150,0,0
submitProduce,100,2026-07-20T11:23:24.900Z,agrochannel1707,cardamom_9,98.13542688910697,1.9718265423627215,2180.824,500,0,0
submitProduce,200,2026-07-20T10:33:55.559Z,agrochannel1707,cardamom_9,53.128689492325854,2.149407718761941,2248.1555555555556,135,0,0
submitProduce,200,2026-07-20T11:27:40.559Z,agrochannel1707,cardamom_9,195.0838860710105,1.9811160022663967,2126.666,500,0,0
makeOffer,50,2026-07-20T10:36:52.237Z,agrochannel1707,cardamom_9,3.3891124761703026,0.46000143750449224,2071.09375,32,0,0
makeOffer,50,2026-07-20T11:46:16.812Z,agrochannel1707,cardamom_9,49.21259842519685,0.45892821903726044,2111.288,500,0,0
makeOffer,100,2026-07-20T10:38:03.150Z,agrochannel1707,cardamom_9,5.581024516643412,0.42873767379187844,2289.8928571428573,28,0,0
makeOffer,100,2026-07-20T12:04:33.676Z,agrochannel1707,cardamom_9,99.58175662218682,0.45864827181331175,2119.42,500,0,0
makeOffer,200,2026-07-20T10:39:11.563Z,agrochannel1707,cardamom_9,11.142061281337048,0.445398870595721,2146.1071428571427,28,0,0
makeOffer,200,2026-07-20T12:23:02.022Z,agrochannel1707,cardamom_9,198.80715705765405,0.4532220461706363,2148.164,500,0,0
acceptOffer,50,2026-07-20T10:40:54.475Z,agrochannel1707,cardamom_9,15.729620576044212,2.1220767675609022,2141.2432432432433,148,0,0
acceptOffer,50,2026-07-20T12:27:25.765Z,agrochannel1707,cardamom_9,37.16366879738368,1.9529571677433972,2192.068,500,0,0
acceptOffer,100,2026-07-20T10:42:07.193Z,agrochannel1707,cardamom_9,26.693227091633467,2.0485537821806394,2253.5597014925374,134,0,0
acceptOffer,100,2026-07-20T12:31:28.956Z,agrochannel1707,cardamom_9,99.52229299363057,2.1231512660351,2114.42,500,0,0
acceptOffer,200,2026-07-20T10:43:17.356Z,agrochannel1707,cardamom_9,51.261829652996845,2.0674300254452924,2232.4692307692308,130,0,0
acceptOffer,200,2026-07-20T12:35:40.456Z,agrochannel1707,cardamom_9,197.62845849802372,2.065535304129418,2192.948,500,0,0
purchasePacket,50,2026-07-20T11:05:31.568Z,agrochannel1707,cardamom_9,14.912019087384433,2.1366608264604077,2248.34,150,0,0
purchasePacket,50,2026-07-20T12:39:59.507Z,agrochannel1707,cardamom_9,37.1305510173771,1.9711580159111877,2143.276,500,0,0
purchasePacket,100,2026-07-20T11:06:44.951Z,agrochannel1707,cardamom_9,18.719339013684483,2.1314126120829044,2147.551724137931,145,0,0
purchasePacket,100,2026-07-20T12:44:15.343Z,agrochannel1707,cardamom_9,83.05647840531562,2.006662118232532,2154.208,500,0,0
purchasePacket,200,2026-07-20T11:07:53.545Z,agrochannel1707,cardamom_9,56.15801704105345,2.310057512466345,2074.062068965517,145,0,0
purchasePacket,200,2026-07-21T04:46:00.800Z,agrochannel1707,cardamom_9,198.17677368212443,1.879791117611011,2055.104514793873,500,0,0
